Commodity,Desk,Commodity,Trader Name,Trader Email,Quantity
,D-7617,Rough Rice,Carrie Fernandez,sugtan@az.es,"87,939"
,D-8055,Rough Rice,Jonathan Zimmerman,ir@mulic.za,"54,203"
,D-4044,Rough Rice,Dollie Houston,atobava@wase.sv,"25,567"
,D-782,Rough Rice,Adrian Allen,al@eni.na,"38,119"
,D-927,Rough Rice,Beatrice Graves,anlen@posjudbi.al,"60,065"
,D-1771,Rough Rice,Christian Cannon,tuh@kofromzab.at,"47,569"
,D-2619,Rough Rice,Patrick Wood,luk@lig.gu,"49,468"
,D-1762,Rough Rice,Carrie Walsh,mow@cafu.qa,"22,589"
,D-373,Cocoa,Anthony Warner,usimeage@woto.pl,"66,643"
,D-6873,Cocoa,Lulu Dawson,obko@kuredis.vc,"14,380"
,D-4618,Cocoa,Myrtie Walters,apu@lup.py,"36,877"
,D-3853,Cocoa,Derek Howard,hiz@ova.tw,"52,770"
,D-4595,Cocoa,Blake Carson,ricivdul@iz.sh,"15,948"
,D-3263,Oats,Barry Cohen,dezap@avabelevu.su,"74,675"
,D-8217,Oats,Duane Larson,gasne@wo.la,"60,368"
,D-8703,Oats,Willie Greer,jo@ah.cu,"63,407"
,D-7980,Adzuki bean,Ray Hernandez,ha@juv.ke,"67,092"
,D-8579,Adzuki bean,Lucy Saunders,dadgat@nudjar.pt,"49,643"
,D-1419,Adzuki bean,Logan Morton,vuj@imogagam.om,"54,803"
,D-7697,Adzuki bean,Christian Floyd,lilrev@corkarnuc.ax,"29,373"
,D-861,Adzuki bean,Ruby Matthews,ifdabvuz@subrej.cm,"43,031"
,D-7214,Adzuki bean,Emily Frazier,mozataz@dandip.ec,"23,709"
,D-972,Rapeseed,Amanda Bowers,ebegihe@hecced.cw,"64,689"
,D-7912,Rapeseed,Sallie Hodges,ju@fo.kp,"66,728"
,D-2062,Rapeseed,Jeanette Bates,ra@muusol.sa,"97,379"
,D-5058,Rapeseed,Mitchell Evans,nupangi@ces.ci,"7,612"
,D-452,Rapeseed,Daniel Ferguson,itulad@ohisegra.pf,"11,117"
,D-3812,Rapeseed,Alma Curry,nikrepne@ne.gu,"74,892"
,D-3615,Rapeseed,Chester Newton,puma@wi.om,"85,452"
,D-1773,Rapeseed,Alfred Henderson,fudsa@joafo.ye,"11,739"
,D-2772,Rapeseed,Kyle Peterson,ipoek@no.ht,"54,868"
,D-8363,Rapeseed,Madge Gibbs,zef@irva.pk,"66,703"
,D-468,Rapeseed,Lettie Becker,duv@pufuji.cn,"59,304"
,D-3932,Frozen Concentrated Orange Juice,Willie Wheeler,alogi@defo.mr,"52,553"
,D-8399,Frozen Concentrated Orange Juice,Jennie Watkins,dewob@gelje.ls,"37,124"
,D-2690,Frozen Concentrated Orange Juice,Danny Watson,abocempo@wa.iq,"93,731"
,D-7391,Frozen Concentrated Orange Juice,Seth Olson,gujcalo@weg.hn,"16,463"
,D-4362,Soybean Oil,Victoria Munoz,pe@itobobim.lc,"23,075"
,D-6923,Soybean Oil,Mike Moss,weg@rajizzef.jo,"84,446"
,D-1287,Soybean Oil,Dustin Cunningham,mijes@ker.za,"43,036"
,D-5423,Soybean Oil,Elmer Nichols,ob@onfoz.bm,"20,518"
,D-3083,Soybean Oil,Jordan Norman,jo@umili.ua,"12,225"
,D-1355,Soybean Oil,Rena Tucker,ki@fuhan.cn,"92,168"
,D-3799,Soybean Oil,Cynthia Chapman,senjelgel@zan.sj,"39,100"
,D-3830,Soybean Oil,Dustin Thompson,wur@vitiv.ng,"24,965"
,D-2185,Milk,Jeanette Torres,ku@tisog.ua,"40,535"
,D-4883,Milk,Emma Ellis,cal@nic.sx,"77,332"
,D-3137,Milk,Dylan Castro,buhna@fagza.dm,"21,807"
,D-3622,Milk,Mabel Dixon,nogeboezo@nevzowsig.kh,"12,900"
,D-6687,Corn,Lura Erickson,jak@de.pn,"19,369"
,D-4630,Corn,Maud Rivera,ejhara@dosiab.az,"69,358"
,D-7634,Corn,Edwin Patterson,jojve@gavami.sh,"31,793"
,D-4449,Corn,Derek Doyle,ike@ih.gw,"1,441"
,D-3901,Wheat,Rosetta Poole,ohbon@totinug.org,"58,252"
,D-5351,Wheat,Mario Miles,bej@ig.sv,"71,374"
,D-5526,Wheat,Clifford Collins,zivu@dafoz.bd,"32,469"
,D-4588,Wheat,Derek Waters,ikege@av.yt,"50,921"
,D-3013,Wheat,Lloyd Kim,cofcopto@we.gr,"18,818"
,D-4764,Sugar No.11,Eleanor Price,aj@pi.fk,"63,734"
,D-2584,Sugar No.11,Devin Cummings,falajad@hokjihtek.gl,"22,958"
,D-5687,Sugar No.11,Bertie Perkins,iginuz@vok.ht,"78,319"
,D-1006,Sugar No.11,Caleb Goodwin,ezesugoc@jibudbef.dz,"30,007"
,D-1910,Sugar No.11,Cecelia Williams,gemlek@ur.pf,"48,201"
,D-8189,Sugar No.11,Sylvia Freeman,ne@za.tc,"9,353"
,D-5860,Soybean Meal,Duane Lane,durduh@tapezoj.bo,"49,696"
,D-7170,Soybean Meal,Alvin Cooper,bip@izonodig.bn,"46,196"
,D-8777,Soybean Meal,Isabel Maldonado,rel@caje.rs,"97,237"
,D-524,Soybean Meal,Carrie Becker,vaha@imvu.cz,"92,095"
,D-2499,Soybean Meal,Della Cain,culupuve@macfi.ls,"81,070"
,D-9456,Soybean Meal,Eugene Gross,kenekjo@sa.sr,"5,184"
,D-3755,Soybeans,Warren Cooper,bufazze@vis.fo,"27,760"
,D-4228,Soybeans,George Greene,tejsurke@vejuksi.tc,"36,232"
,D-8811,Soybeans,Jacob Strickland,rashurta@dakabekak.im,"27,491"
,D-2655,Soybeans,Ruby Hines,opamewiw@ihariwuv.bm,"82,510"
,D-4658,Soybeans,Austin Moran,uhkarol@avi.au,"95,860"
,D-9887,Soybeans,Steven Stanley,fonum@kepilbi.pr,"59,306"
,D-6823,Soybeans,Isabella Watkins,tecada@bug.ac,"19,708"
,D-8791,Soybeans,Leroy Weaver,siiro@wori.br,"35,333"
,D-9234,Soybeans,Steve Harmon,fufnidobo@fo.tr,"13,322"
,D-5226,Soybeans,Devin Hart,lu@po.gb,"91,903"
,D-9959,Robusta coffee,Joe Green,kefusahu@fa.sz,"83,673"
,D-7091,Robusta coffee,Winifred Moody,komib@wumdam.ad,"39,507"
,D-9155,Robusta coffee,Emily Burton,ka@zu.no,"62,374"
,D-2457,Robusta coffee,Paul Horton,fo@sifci.bt,"67,667"
,D-3804,Robusta coffee,Derrick Rodriguez,ta@upte.bt,"31,276"
,D-4116,Robusta coffee,Gregory Robbins,ol@zaghu.bz,"17,363"
,D-5053,Coffee C,Laura Craig,moke@even.hu,"91,225"
,D-8195,Coffee C,Lula Luna,setzifat@vikmomut.ve,"81,882"
